train_source_normal,train_target_normal,test_source_normal,test_bearing_source,test_fan_source,test_gearbox_source,test_slider_source,test_ToyCar_source,test_ToyTrain_source,test_valve_source,test_source_anomaly,test_target_normal,test_bearing_target,test_fan_target,test_gearbox_target,test_slider_target,test_ToyCar_target,test_ToyTrain_target,test_valve_target,test_target_anomaly
23,2993.0,7073.0,7023.0,7223.0,7423.0,7623.0,7823.0,8023.0,8223.0,7023.0,7173.0,7123.0,7323.0,7523.0,7723.0,7923.0,8123.0,8323.0,7123.0
24,2994.0,7074.0,7024.0,7224.0,7424.0,7624.0,7824.0,8024.0,8224.0,7024.0,7174.0,7124.0,7324.0,7524.0,7724.0,7924.0,8124.0,8324.0,7124.0
25,2995.0,7075.0,7025.0,7225.0,7425.0,7625.0,7825.0,8025.0,8225.0,7025.0,7175.0,7125.0,7325.0,7525.0,7725.0,7925.0,8125.0,8325.0,7125.0
26,2996.0,7076.0,7026.0,7226.0,7426.0,7626.0,7826.0,8026.0,8226.0,7026.0,7176.0,7126.0,7326.0,7526.0,7726.0,7926.0,8126.0,8326.0,7126.0
27,2997.0,7077.0,7027.0,7227.0,7427.0,7627.0,7827.0,8027.0,8227.0,7027.0,7177.0,7127.0,7327.0,7527.0,7727.0,7927.0,8127.0,8327.0,7127.0
28,2998.0,7078.0,7028.0,7228.0,7428.0,7628.0,7828.0,8028.0,8228.0,7028.0,7178.0,7128.0,7328.0,7528.0,7728.0,7928.0,8128.0,8328.0,7128.0
29,2999.0,7079.0,7029.0,7229.0,7429.0,7629.0,7829.0,8029.0,8229.0,7029.0,7179.0,7129.0,7329.0,7529.0,7729.0,7929.0,8129.0,8329.0,7129.0
30,3990.0,7080.0,7030.0,7230.0,7430.0,7630.0,7830.0,8030.0,8230.0,7030.0,7180.0,7130.0,7330.0,7530.0,7730.0,7930.0,8130.0,8330.0,7130.0
31,3991.0,7081.0,7031.0,7231.0,7431.0,7631.0,7831.0,8031.0,8231.0,7031.0,7181.0,7131.0,7331.0,7531.0,7731.0,7931.0,8131.0,8331.0,7131.0
32,3992.0,7082.0,7032.0,7232.0,7432.0,7632.0,7832.0,8032.0,8232.0,7032.0,7182.0,7132.0,7332.0,7532.0,7732.0,7932.0,8132.0,8332.0,7132.0
33,3993.0,7083.0,7033.0,7233.0,7433.0,7633.0,7833.0,8033.0,8233.0,7033.0,7183.0,7133.0,7333.0,7533.0,7733.0,7933.0,8133.0,8333.0,7133.0
34,3994.0,7084.0,7034.0,7234.0,7434.0,7634.0,7834.0,8034.0,8234.0,7034.0,7184.0,7134.0,7334.0,7534.0,7734.0,7934.0,8134.0,8334.0,7134.0
35,3995.0,7085.0,7035.0,7235.0,7435.0,7635.0,7835.0,8035.0,8235.0,7035.0,7185.0,7135.0,7335.0,7535.0,7735.0,7935.0,8135.0,8335.0,7135.0
36,3996.0,7086.0,7036.0,7236.0,7436.0,7636.0,7836.0,8036.0,8236.0,7036.0,7186.0,7136.0,7336.0,7536.0,7736.0,7936.0,8136.0,8336.0,7136.0
37,3997.0,7087.0,7037.0,7237.0,7437.0,7637.0,7837.0,8037.0,8237.0,7037.0,7187.0,7137.0,7337.0,7537.0,7737.0,7937.0,8137.0,8337.0,7137.0
38,3998.0,7088.0,7038.0,7238.0,7438.0,7638.0,7838.0,8038.0,8238.0,7038.0,7188.0,7138.0,7338.0,7538.0,7738.0,7938.0,8138.0,8338.0,7138.0
39,3999.0,7089.0,7039.0,7239.0,7439.0,7639.0,7839.0,8039.0,8239.0,7039.0,7189.0,7139.0,7339.0,7539.0,7739.0,7939.0,8139.0,8339.0,7139.0
40,4990.0,7090.0,7040.0,7240.0,7440.0,7640.0,7840.0,8040.0,8240.0,7040.0,7190.0,7140.0,7340.0,7540.0,7740.0,7940.0,8140.0,8340.0,7140.0
41,4991.0,7091.0,7041.0,7241.0,7441.0,7641.0,7841.0,8041.0,8241.0,7041.0,7191.0,7141.0,7341.0,7541.0,7741.0,7941.0,8141.0,8341.0,7141.0
42,4992.0,7092.0,7042.0,7242.0,7442.0,7642.0,7842.0,8042.0,8242.0,7042.0,7192.0,7142.0,7342.0,7542.0,7742.0,7942.0,8142.0,8342.0,7142.0
43,4993.0,7093.0,7043.0,7243.0,7443.0,7643.0,7843.0,8043.0,8243.0,7043.0,7193.0,7143.0,7343.0,7543.0,7743.0,7943.0,8143.0,8343.0,7143.0
44,4994.0,7094.0,7044.0,7244.0,7444.0,7644.0,7844.0,8044.0,8244.0,7044.0,7194.0,7144.0,7344.0,7544.0,7744.0,7944.0,8144.0,8344.0,7144.0
45,4995.0,7095.0,7045.0,7245.0,7445.0,7645.0,7845.0,8045.0,8245.0,7045.0,7195.0,7145.0,7345.0,7545.0,7745.0,7945.0,8145.0,8345.0,7145.0
46,4996.0,7096.0,7046.0,7246.0,7446.0,7646.0,7846.0,8046.0,8246.0,7046.0,7196.0,7146.0,7346.0,7546.0,7746.0,7946.0,8146.0,8346.0,7146.0
47,4997.0,7097.0,7047.0,7247.0,7447.0,7647.0,7847.0,8047.0,8247.0,7047.0,7197.0,7147.0,7347.0,7547.0,7747.0,7947.0,8147.0,8347.0,7147.0
48,4998.0,7098.0,7048.0,7248.0,7448.0,7648.0,7848.0,8048.0,8248.0,7048.0,7198.0,7148.0,7348.0,7548.0,7748.0,7948.0,8148.0,8348.0,7148.0
49,4999.0,7099.0,7049.0,7249.0,7449.0,7649.0,7849.0,8049.0,8249.0,7049.0,7199.0,7149.0,7349.0,7549.0,7749.0,7949.0,8149.0,8349.0,7149.0
50,5990.0,7250.0,7050.0,7250.0,7450.0,7650.0,7850.0,8050.0,8250.0,7200.0,7350.0,7150.0,7350.0,7550.0,7750.0,7950.0,8150.0,8350.0,7300.0
51,5991.0,7251.0,7051.0,7251.0,7451.0,7651.0,7851.0,8051.0,8251.0,7201.0,7351.0,7151.0,7351.0,7551.0,7751.0,7951.0,8151.0,8351.0,7301.0
52,5992.0,7252.0,7052.0,7252.0,7452.0,7652.0,7852.0,8052.0,8252.0,7202.0,7352.0,7152.0,7352.0,7552.0,7752.0,7952.0,8152.0,8352.0,7302.0
53,5993.0,7253.0,7053.0,7253.0,7453.0,7653.0,7853.0,8053.0,8253.0,7203.0,7353.0,7153.0,7353.0,7553.0,7753.0,7953.0,8153.0,8353.0,7303.0
54,5994.0,7254.0,7054.0,7254.0,7454.0,7654.0,7854.0,8054.0,8254.0,7204.0,7354.0,7154.0,7354.0,7554.0,7754.0,7954.0,8154.0,8354.0,7304.0
55,5995.0,7255.0,7055.0,7255.0,7455.0,7655.0,7855.0,8055.0,8255.0,7205.0,7355.0,7155.0,7355.0,7555.0,7755.0,7955.0,8155.0,8355.0,7305.0
56,5996.0,7256.0,7056.0,7256.0,7456.0,7656.0,7856.0,8056.0,8256.0,7206.0,7356.0,7156.0,7356.0,7556.0,7756.0,7956.0,8156.0,8356.0,7306.0
57,5997.0,7257.0,7057.0,7257.0,7457.0,7657.0,7857.0,8057.0,8257.0,7207.0,7357.0,7157.0,7357.0,7557.0,7757.0,7957.0,8157.0,8357.0,7307.0
58,5998.0,7258.0,7058.0,7258.0,7458.0,7658.0,7858.0,8058.0,8258.0,7208.0,7358.0,7158.0,7358.0,7558.0,7758.0,7958.0,8158.0,8358.0,7308.0
59,5999.0,7259.0,7059.0,7259.0,7459.0,7659.0,7859.0,8059.0,8259.0,7209.0,7359.0,7159.0,7359.0,7559.0,7759.0,7959.0,8159.0,8359.0,7309.0
60,6990.0,7260.0,7060.0,7260.0,7460.0,7660.0,7860.0,8060.0,8260.0,7210.0,7360.0,7160.0,7360.0,7560.0,7760.0,7960.0,8160.0,8360.0,7310.0
61,6991.0,7261.0,7061.0,7261.0,7461.0,7661.0,7861.0,8061.0,8261.0,7211.0,7361.0,7161.0,7361.0,7561.0,7761.0,7961.0,8161.0,8361.0,7311.0
62,6992.0,7262.0,7062.0,7262.0,7462.0,7662.0,7862.0,8062.0,8262.0,7212.0,7362.0,7162.0,7362.0,7562.0,7762.0,7962.0,8162.0,8362.0,7312.0
63,6993.0,7263.0,7063.0,7263.0,7463.0,7663.0,7863.0,8063.0,8263.0,7213.0,7363.0,7163.0,7363.0,7563.0,7763.0,7963.0,8163.0,8363.0,7313.0
64,6994.0,7264.0,7064.0,7264.0,7464.0,7664.0,7864.0,8064.0,8264.0,7214.0,7364.0,7164.0,7364.0,7564.0,7764.0,7964.0,8164.0,8364.0,7314.0
65,6995.0,7265.0,7065.0,7265.0,7465.0,7665.0,7865.0,8065.0,8265.0,7215.0,7365.0,7165.0,7365.0,7565.0,7765.0,7965.0,8165.0,8365.0,7315.0
66,6996.0,7266.0,7066.0,7266.0,7466.0,7666.0,7866.0,8066.0,8266.0,7216.0,7366.0,7166.0,7366.0,7566.0,7766.0,7966.0,8166.0,8366.0,7316.0
67,6997.0,7267.0,7067.0,7267.0,7467.0,7667.0,7867.0,8067.0,8267.0,7217.0,7367.0,7167.0,7367.0,7567.0,7767.0,7967.0,8167.0,8367.0,7317.0
68,6998.0,7268.0,7068.0,7268.0,7468.0,7668.0,7868.0,8068.0,8268.0,7218.0,7368.0,7168.0,7368.0,7568.0,7768.0,7968.0,8168.0,8368.0,7318.0
69,6999.0,7269.0,7069.0,7269.0,7469.0,7669.0,7869.0,8069.0,8269.0,7219.0,7369.0,7169.0,7369.0,7569.0,7769.0,7969.0,8169.0,8369.0,7319.0
70,,7270.0,7070.0,7270.0,7470.0,7670.0,7870.0,8070.0,8270.0,7220.0,7370.0,7170.0,7370.0,7570.0,7770.0,7970.0,8170.0,8370.0,7320.0
71,,7271.0,7071.0,7271.0,7471.0,7671.0,7871.0,8071.0,8271.0,7221.0,7371.0,7171.0,7371.0,7571.0,7771.0,7971.0,8171.0,8371.0,7321.0
72,,7272.0,7072.0,7272.0,7472.0,7672.0,7872.0,8072.0,8272.0,7222.0,7372.0,7172.0,7372.0,7572.0,7772.0,7972.0,8172.0,8372.0,7322.0
73,,7273.0,7073.0,7273.0,7473.0,7673.0,7873.0,8073.0,8273.0,7223.0,7373.0,7173.0,7373.0,7573.0,7773.0,7973.0,8173.0,8373.0,7323.0
74,,7274.0,7074.0,7274.0,7474.0,7674.0,7874.0,8074.0,8274.0,7224.0,7374.0,7174.0,7374.0,7574.0,7774.0,7974.0,8174.0,8374.0,7324.0
75,,7275.0,7075.0,7275.0,7475.0,7675.0,7875.0,8075.0,8275.0,7225.0,7375.0,7175.0,7375.0,7575.0,7775.0,7975.0,8175.0,8375.0,7325.0
76,,7276.0,7076.0,7276.0,7476.0,7676.0,7876.0,8076.0,8276.0,7226.0,7376.0,7176.0,7376.0,7576.0,7776.0,7976.0,8176.0,8376.0,7326.0
77,,7277.0,7077.0,7277.0,7477.0,7677.0,7877.0,8077.0,8277.0,7227.0,7377.0,7177.0,7377.0,7577.0,7777.0,7977.0,8177.0,8377.0,7327.0
78,,7278.0,7078.0,7278.0,7478.0,7678.0,7878.0,8078.0,8278.0,7228.0,7378.0,7178.0,7378.0,7578.0,7778.0,7978.0,8178.0,8378.0,7328.0
79,,7279.0,7079.0,7279.0,7479.0,7679.0,7879.0,8079.0,8279.0,7229.0,7379.0,7179.0,7379.0,7579.0,7779.0,7979.0,8179.0,8379.0,7329.0
80,,7280.0,7080.0,7280.0,7480.0,7680.0,7880.0,8080.0,8280.0,7230.0,7380.0,7180.0,7380.0,7580.0,7780.0,7980.0,8180.0,8380.0,7330.0
81,,7281.0,7081.0,7281.0,7481.0,7681.0,7881.0,8081.0,8281.0,7231.0,7381.0,7181.0,7381.0,7581.0,7781.0,7981.0,8181.0,8381.0,7331.0
82,,7282.0,7082.0,7282.0,7482.0,7682.0,7882.0,8082.0,8282.0,7232.0,7382.0,7182.0,7382.0,7582.0,7782.0,7982.0,8182.0,8382.0,7332.0
83,,7283.0,7083.0,7283.0,7483.0,7683.0,7883.0,8083.0,8283.0,7233.0,7383.0,7183.0,7383.0,7583.0,7783.0,7983.0,8183.0,8383.0,7333.0
84,,7284.0,7084.0,7284.0,7484.0,7684.0,7884.0,8084.0,8284.0,7234.0,7384.0,7184.0,7384.0,7584.0,7784.0,7984.0,8184.0,8384.0,7334.0
85,,7285.0,7085.0,7285.0,7485.0,7685.0,7885.0,8085.0,8285.0,7235.0,7385.0,7185.0,7385.0,7585.0,7785.0,7985.0,8185.0,8385.0,7335.0
86,,7286.0,7086.0,7286.0,7486.0,7686.0,7886.0,8086.0,8286.0,7236.0,7386.0,7186.0,7386.0,7586.0,7786.0,7986.0,8186.0,8386.0,7336.0
87,,7287.0,7087.0,7287.0,7487.0,7687.0,7887.0,8087.0,8287.0,7237.0,7387.0,7187.0,7387.0,7587.0,7787.0,7987.0,8187.0,8387.0,7337.0
88,,7288.0,7088.0,7288.0,7488.0,7688.0,7888.0,8088.0,8288.0,7238.0,7388.0,7188.0,7388.0,7588.0,7788.0,7988.0,8188.0,8388.0,7338.0
89,,7289.0,7089.0,7289.0,7489.0,7689.0,7889.0,8089.0,8289.0,7239.0,7389.0,7189.0,7389.0,7589.0,7789.0,7989.0,8189.0,8389.0,7339.0
90,,7290.0,7090.0,7290.0,7490.0,7690.0,7890.0,8090.0,8290.0,7240.0,7390.0,7190.0,7390.0,7590.0,7790.0,7990.0,8190.0,8390.0,7340.0
91,,7291.0,7091.0,7291.0,7491.0,7691.0,7891.0,8091.0,8291.0,7241.0,7391.0,7191.0,7391.0,7591.0,7791.0,7991.0,8191.0,8391.0,7341.0
92,,7292.0,7092.0,7292.0,7492.0,7692.0,7892.0,8092.0,8292.0,7242.0,7392.0,7192.0,7392.0,7592.0,7792.0,7992.0,8192.0,8392.0,7342.0
93,,7293.0,7093.0,7293.0,7493.0,7693.0,7893.0,8093.0,8293.0,7243.0,7393.0,7193.0,7393.0,7593.0,7793.0,7993.0,8193.0,8393.0,7343.0
94,,7294.0,7094.0,7294.0,7494.0,7694.0,7894.0,8094.0,8294.0,7244.0,7394.0,7194.0,7394.0,7594.0,7794.0,7994.0,8194.0,8394.0,7344.0
95,,7295.0,7095.0,7295.0,7495.0,7695.0,7895.0,8095.0,8295.0,7245.0,7395.0,7195.0,7395.0,7595.0,7795.0,7995.0,8195.0,8395.0,7345.0
96,,7296.0,7096.0,7296.0,7496.0,7696.0,7896.0,8096.0,8296.0,7246.0,7396.0,7196.0,7396.0,7596.0,7796.0,7996.0,8196.0,8396.0,7346.0
97,,7297.0,7097.0,7297.0,7497.0,7697.0,7897.0,8097.0,8297.0,7247.0,7397.0,7197.0,7397.0,7597.0,7797.0,7997.0,8197.0,8397.0,7347.0
98,,7298.0,7098.0,7298.0,7498.0,7698.0,7898.0,8098.0,8298.0,7248.0,7398.0,7198.0,7398.0,7598.0,7798.0,7998.0,8198.0,8398.0,7348.0
99,,7299.0,7099.0,7299.0,7499.0,7699.0,7899.0,8099.0,8299.0,7249.0,7399.0,7199.0,7399.0,7599.0,7799.0,7999.0,8199.0,8399.0,7349.0
100,,7450.0,,,,,,,,7400.0,7550.0,,,,,,,,7500.0
101,,7451.0,,,,,,,,7401.0,7551.0,,,,,,,,7501.0
102,,7452.0,,,,,,,,7402.0,7552.0,,,,,,,,7502.0
103,,7453.0,,,,,,,,7403.0,7553.0,,,,,,,,7503.0
104,,7454.0,,,,,,,,7404.0,7554.0,,,,,,,,7504.0
105,,7455.0,,,,,,,,7405.0,7555.0,,,,,,,,7505.0
106,,7456.0,,,,,,,,7406.0,7556.0,,,,,,,,7506.0
107,,7457.0,,,,,,,,7407.0,7557.0,,,,,,,,7507.0
108,,7458.0,,,,,,,,7408.0,7558.0,,,,,,,,7508.0
109,,7459.0,,,,,,,,7409.0,7559.0,,,,,,,,7509.0
110,,7460.0,,,,,,,,7410.0,7560.0,,,,,,,,7510.0
111,,7461.0,,,,,,,,7411.0,7561.0,,,,,,,,7511.0
112,,7462.0,,,,,,,,7412.0,7562.0,,,,,,,,7512.0
113,,7463.0,,,,,,,,7413.0,7563.0,,,,,,,,7513.0
114,,7464.0,,,,,,,,7414.0,7564.0,,,,,,,,7514.0
115,,7465.0,,,,,,,,7415.0,7565.0,,,,,,,,7515.0
116,,7466.0,,,,,,,,7416.0,7566.0,,,,,,,,7516.0
117,,7467.0,,,,,,,,7417.0,7567.0,,,,,,,,7517.0
118,,7468.0,,,,,,,,7418.0,7568.0,,,,,,,,7518.0
119,,7469.0,,,,,,,,7419.0,7569.0,,,,,,,,7519.0
120,,7470.0,,,,,,,,7420.0,7570.0,,,,,,,,7520.0
121,,7471.0,,,,,,,,7421.0,7571.0,,,,,,,,7521.0
122,,7472.0,,,,,,,,7422.0,7572.0,,,,,,,,7522.0
123,,7473.0,,,,,,,,7423.0,7573.0,,,,,,,,7523.0
124,,7474.0,,,,,,,,7424.0,7574.0,,,,,,,,7524.0
125,,7475.0,,,,,,,,7425.0,7575.0,,,,,,,,7525.0
126,,7476.0,,,,,,,,7426.0,7576.0,,,,,,,,7526.0
127,,7477.0,,,,,,,,7427.0,7577.0,,,,,,,,7527.0
128,,7478.0,,,,,,,,7428.0,7578.0,,,,,,,,7528.0
129,,7479.0,,,,,,,,7429.0,7579.0,,,,,,,,7529.0
130,,7480.0,,,,,,,,7430.0,7580.0,,,,,,,,7530.0
131,,7481.0,,,,,,,,7431.0,7581.0,,,,,,,,7531.0
132,,7482.0,,,,,,,,7432.0,7582.0,,,,,,,,7532.0
133,,7483.0,,,,,,,,7433.0,7583.0,,,,,,,,7533.0
134,,7484.0,,,,,,,,7434.0,7584.0,,,,,,,,7534.0
135,,7485.0,,,,,,,,7435.0,7585.0,,,,,,,,7535.0
136,,7486.0,,,,,,,,7436.0,7586.0,,,,,,,,7536.0
137,,7487.0,,,,,,,,7437.0,7587.0,,,,,,,,7537.0
138,,7488.0,,,,,,,,7438.0,7588.0,,,,,,,,7538.0
139,,7489.0,,,,,,,,7439.0,7589.0,,,,,,,,7539.0
140,,7490.0,,,,,,,,7440.0,7590.0,,,,,,,,7540.0
141,,7491.0,,,,,,,,7441.0,7591.0,,,,,,,,7541.0
142,,7492.0,,,,,,,,7442.0,7592.0,,,,,,,,7542.0
143,,7493.0,,,,,,,,7443.0,7593.0,,,,,,,,7543.0
144,,7494.0,,,,,,,,7444.0,7594.0,,,,,,,,7544.0
145,,7495.0,,,,,,,,7445.0,7595.0,,,,,,,,7545.0
146,,7496.0,,,,,,,,7446.0,7596.0,,,,,,,,7546.0
147,,7497.0,,,,,,,,7447.0,7597.0,,,,,,,,7547.0
148,,7498.0,,,,,,,,7448.0,7598.0,,,,,,,,7548.0
149,,7499.0,,,,,,,,7449.0,7599.0,,,,,,,,7549.0
150,,7650.0,,,,,,,,7600.0,7750.0,,,,,,,,7700.0
151,,7651.0,,,,,,,,7601.0,7751.0,,,,,,,,7701.0
152,,7652.0,,,,,,,,7602.0,7752.0,,,,,,,,7702.0
153,,7653.0,,,,,,,,7603.0,7753.0,,,,,,,,7703.0
154,,7654.0,,,,,,,,7604.0,7754.0,,,,,,,,7704.0
155,,7655.0,,,,,,,,7605.0,7755.0,,,,,,,,7705.0
156,,7656.0,,,,,,,,7606.0,7756.0,,,,,,,,7706.0
157,,7657.0,,,,,,,,7607.0,7757.0,,,,,,,,7707.0
158,,7658.0,,,,,,,,7608.0,7758.0,,,,,,,,7708.0
159,,7659.0,,,,,,,,7609.0,7759.0,,,,,,,,7709.0
160,,7660.0,,,,,,,,7610.0,7760.0,,,,,,,,7710.0
161,,7661.0,,,,,,,,7611.0,7761.0,,,,,,,,7711.0
162,,7662.0,,,,,,,,7612.0,7762.0,,,,,,,,7712.0
163,,7663.0,,,,,,,,7613.0,7763.0,,,,,,,,7713.0
164,,7664.0,,,,,,,,7614.0,7764.0,,,,,,,,7714.0
165,,7665.0,,,,,,,,7615.0,7765.0,,,,,,,,7715.0
166,,7666.0,,,,,,,,7616.0,7766.0,,,,,,,,7716.0
167,,7667.0,,,,,,,,7617.0,7767.0,,,,,,,,7717.0
168,,7668.0,,,,,,,,7618.0,7768.0,,,,,,,,7718.0
169,,7669.0,,,,,,,,7619.0,7769.0,,,,,,,,7719.0
170,,7670.0,,,,,,,,7620.0,7770.0,,,,,,,,7720.0
171,,7671.0,,,,,,,,7621.0,7771.0,,,,,,,,7721.0
172,,7672.0,,,,,,,,7622.0,7772.0,,,,,,,,7722.0
173,,7673.0,,,,,,,,7623.0,7773.0,,,,,,,,7723.0
174,,7674.0,,,,,,,,7624.0,7774.0,,,,,,,,7724.0
175,,7675.0,,,,,,,,7625.0,7775.0,,,,,,,,7725.0
176,,7676.0,,,,,,,,7626.0,7776.0,,,,,,,,7726.0
177,,7677.0,,,,,,,,7627.0,7777.0,,,,,,,,7727.0
178,,7678.0,,,,,,,,7628.0,7778.0,,,,,,,,7728.0
179,,7679.0,,,,,,,,7629.0,7779.0,,,,,,,,7729.0
180,,7680.0,,,,,,,,7630.0,7780.0,,,,,,,,7730.0
181,,7681.0,,,,,,,,7631.0,7781.0,,,,,,,,7731.0
182,,7682.0,,,,,,,,7632.0,7782.0,,,,,,,,7732.0
183,,7683.0,,,,,,,,7633.0,7783.0,,,,,,,,7733.0
184,,7684.0,,,,,,,,7634.0,7784.0,,,,,,,,7734.0
185,,7685.0,,,,,,,,7635.0,7785.0,,,,,,,,7735.0
186,,7686.0,,,,,,,,7636.0,7786.0,,,,,,,,7736.0
187,,7687.0,,,,,,,,7637.0,7787.0,,,,,,,,7737.0
188,,7688.0,,,,,,,,7638.0,7788.0,,,,,,,,7738.0
189,,7689.0,,,,,,,,7639.0,7789.0,,,,,,,,7739.0
190,,7690.0,,,,,,,,7640.0,7790.0,,,,,,,,7740.0
191,,7691.0,,,,,,,,7641.0,7791.0,,,,,,,,7741.0
192,,7692.0,,,,,,,,7642.0,7792.0,,,,,,,,7742.0
193,,7693.0,,,,,,,,7643.0,7793.0,,,,,,,,7743.0
194,,7694.0,,,,,,,,7644.0,7794.0,,,,,,,,7744.0
195,,7695.0,,,,,,,,7645.0,7795.0,,,,,,,,7745.0
196,,7696.0,,,,,,,,7646.0,7796.0,,,,,,,,7746.0
197,,7697.0,,,,,,,,7647.0,7797.0,,,,,,,,7747.0
198,,7698.0,,,,,,,,7648.0,7798.0,,,,,,,,7748.0
199,,7699.0,,,,,,,,7649.0,7799.0,,,,,,,,7749.0
200,,7850.0,,,,,,,,7800.0,7950.0,,,,,,,,7900.0
201,,7851.0,,,,,,,,7801.0,7951.0,,,,,,,,7901.0
202,,7852.0,,,,,,,,7802.0,7952.0,,,,,,,,7902.0
203,,7853.0,,,,,,,,7803.0,7953.0,,,,,,,,7903.0
204,,7854.0,,,,,,,,7804.0,7954.0,,,,,,,,7904.0
205,,7855.0,,,,,,,,7805.0,7955.0,,,,,,,,7905.0
206,,7856.0,,,,,,,,7806.0,7956.0,,,,,,,,7906.0
207,,7857.0,,,,,,,,7807.0,7957.0,,,,,,,,7907.0
208,,7858.0,,,,,,,,7808.0,7958.0,,,,,,,,7908.0
209,,7859.0,,,,,,,,7809.0,7959.0,,,,,,,,7909.0
